SimNr;attempt;Rep;generation
1;1;1;9
1;2;1;9
1;3;1;7
1;4;1;5
1;5;1;30
1;6;1;23
1;7;1;9
1;8;1;30
1;9;1;24
1;10;1;4
1;11;1;21
1;12;1;8
1;13;1;35
1;14;1;12
1;15;1;27
1;16;1;5
1;17;1;6
1;18;1;6
1;19;1;7
1;20;1;41
1;1;2;12
1;2;2;37
1;3;2;24
1;4;2;10
1;5;2;6
1;6;2;3
1;7;2;8
1;8;2;22
1;9;2;13
1;10;2;8
1;11;2;16
1;12;2;4
1;13;2;2
1;14;2;9
1;15;2;6
1;16;2;6
1;17;2;6
1;18;2;7
1;19;2;30
1;20;2;23
1;1;3;7
1;2;3;7
1;3;3;22
1;4;3;5
1;5;3;11
1;6;3;7
1;7;3;25
1;8;3;13
1;9;3;15
1;10;3;14
1;11;3;4
1;12;3;21
1;13;3;51
1;14;3;17
1;15;3;13
1;16;3;20
1;17;3;6
1;18;3;13
1;19;3;44
1;20;3;2
1;1;4;2
1;2;4;8
1;3;4;31
1;4;4;6
1;5;4;24
1;6;4;6
1;7;4;8
1;8;4;13
1;9;4;14
1;10;4;17
1;11;4;16
1;12;4;7
1;13;4;5
1;14;4;33
1;15;4;10
1;16;4;13
1;17;4;5
1;18;4;19
1;19;4;9
1;20;4;3
1;1;5;15
1;2;5;43
1;3;5;12
1;4;5;9
1;5;5;6
1;6;5;7
1;7;5;20
1;8;5;17
1;9;5;15
1;10;5;3
1;11;5;5
1;12;5;6
1;13;5;53
1;14;5;7
1;15;5;32
1;16;5;18
1;17;5;25
1;18;5;19
1;19;5;18
1;20;5;3
1;1;6;9
1;2;6;4
1;3;6;10
1;4;6;4
1;5;6;7
1;6;6;6
1;7;6;5
1;8;6;14
1;9;6;3
1;10;6;10
1;11;6;7
1;12;6;18
1;13;6;40
1;14;6;6
1;15;6;46
1;16;6;11
1;17;6;4
1;18;6;4
1;19;6;41
1;20;6;16
1;1;7;8
1;2;7;5
1;3;7;19
1;4;7;45
1;5;7;15
1;6;7;7
1;7;7;13
1;8;7;8
1;9;7;33
1;10;7;7
1;11;7;20
1;12;7;15
1;13;7;11
1;14;7;12
1;15;7;6
1;16;7;22
1;17;7;11
1;18;7;12
1;19;7;4
1;20;7;11
1;1;8;3
1;2;8;18
1;3;8;14
1;4;8;12
1;5;8;19
1;6;8;2
1;7;8;8
1;8;8;2
1;9;8;3
1;10;8;23
1;11;8;6
1;12;8;8
1;13;8;10
1;14;8;3
1;15;8;11
1;16;8;7
1;17;8;8
1;18;8;3
1;19;8;25
1;20;8;11
1;1;9;10
1;2;9;6
1;3;9;21
1;4;9;9
1;5;9;24
1;6;9;5
1;7;9;26
1;8;9;22
1;9;9;14
1;10;9;19
1;11;9;14
1;12;9;10
1;13;9;16
1;14;9;16
1;15;9;10
1;16;9;11
1;17;9;5
1;18;9;37
1;19;9;4
1;20;9;7
1;1;10;33
1;2;10;10
1;3;10;22
1;4;10;5
1;5;10;11
1;6;10;27
1;7;10;14
1;8;10;27
1;9;10;31
1;10;10;9
1;11;10;15
1;12;10;2
1;13;10;20
1;14;10;6
1;15;10;13
1;16;10;11
1;17;10;5
1;18;10;31
1;19;10;5
1;20;10;7
1;1;11;12
1;2;11;9
1;3;11;10
1;4;11;28
1;5;11;46
1;6;11;16
1;7;11;24
1;8;11;9
1;9;11;26
1;10;11;19
1;11;11;7
1;12;11;38
1;13;11;10
1;14;11;23
1;15;11;5
1;16;11;8
1;17;11;12
1;18;11;9
1;19;11;5
1;20;11;13
1;1;12;11
1;2;12;28
1;3;12;15
1;4;12;12
1;5;12;6
1;6;12;10
1;7;12;3
1;8;12;17
1;9;12;3
1;10;12;10
1;11;12;30
1;12;12;5
1;13;12;26
1;14;12;17
1;15;12;5
1;16;12;24
1;17;12;11
1;18;12;7
1;19;12;12
1;20;12;18
1;1;13;6
1;2;13;4
1;3;13;37
1;4;13;12
1;5;13;22
1;6;13;44
1;7;13;5
1;8;13;13
1;9;13;15
1;10;13;14
1;11;13;11
1;12;13;8
1;13;13;23
1;14;13;5
1;15;13;14
1;16;13;9
1;17;13;11
1;18;13;19
1;19;13;26
1;20;13;10
1;1;14;45
1;2;14;19
1;3;14;9
1;4;14;11
1;5;14;55
1;6;14;31
1;7;14;13
1;8;14;17
1;9;14;7
1;10;14;10
1;11;14;5
1;12;14;10
1;13;14;44
1;14;14;22
1;15;14;28
1;16;14;8
1;17;14;11
1;18;14;44
1;19;14;38
1;20;14;7
1;1;15;17
1;2;15;15
1;3;15;15
1;4;15;33
1;5;15;15
1;6;15;22
1;7;15;23
1;8;15;8
1;9;15;13
1;10;15;11
1;11;15;18
1;12;15;16
1;13;15;14
1;14;15;15
1;15;15;15
1;16;15;8
1;17;15;8
1;18;15;21
1;19;15;51
1;20;15;21
1;1;16;23
1;2;16;7
1;3;16;17
1;4;16;44
1;5;16;2
1;6;16;31
1;7;16;6
1;8;16;30
1;9;16;11
1;10;16;10
1;11;16;21
1;12;16;15
1;13;16;5
1;14;16;17
1;15;16;3
1;16;16;13
1;17;16;4
1;18;16;11
1;19;16;12
1;20;16;5
1;1;17;15
1;2;17;11
1;3;17;4
1;4;17;14
1;5;17;15
1;6;17;6
1;7;17;25
1;8;17;6
1;9;17;48
1;10;17;13
1;11;17;4
1;12;17;6
1;13;17;3
1;14;17;12
1;15;17;4
1;16;17;17
1;17;17;3
1;18;17;24
1;19;17;8
1;20;17;19
1;1;18;16
1;2;18;33
1;3;18;5
1;4;18;17
1;5;18;21
1;6;18;11
1;7;18;8
1;8;18;23
1;9;18;16
1;10;18;37
1;11;18;5
1;12;18;3
1;13;18;10
1;14;18;29
1;15;18;16
1;16;18;24
1;17;18;7
1;18;18;10
1;19;18;15
1;20;18;3
1;1;19;4
1;2;19;3
1;3;19;15
1;4;19;9
1;5;19;21
1;6;19;34
1;7;19;20
1;8;19;9
1;9;19;3
1;10;19;5
1;11;19;25
1;12;19;10
1;13;19;2
1;14;19;23
1;15;19;13
1;16;19;19
1;17;19;3
1;18;19;9
1;19;19;12
1;20;19;10
1;1;20;14
1;2;20;6
1;3;20;5
1;4;20;17
1;5;20;10
1;6;20;10
1;7;20;5
1;8;20;11
1;9;20;3
1;10;20;5
1;11;20;11
1;12;20;6
1;13;20;29
1;14;20;19
1;15;20;4
1;16;20;32
1;17;20;3
1;18;20;5
1;19;20;34
1;20;20;11
2;1;1;1
2;2;1;1
2;3;1;1
2;4;1;1
2;5;1;3
2;6;1;1
2;7;1;42
2;8;1;1
2;9;1;6
2;10;1;9
2;11;1;15
2;12;1;2
2;13;1;6
2;14;1;49
2;15;1;1
2;16;1;3
2;17;1;5
2;18;1;1
2;19;1;4
2;20;1;2
2;1;2;2
2;2;2;3
2;3;2;1
2;4;2;3
2;5;2;1
2;6;2;9
2;7;2;29
2;8;2;1
2;9;2;2
2;10;2;25
2;11;2;12
2;12;2;1
2;13;2;1
2;14;2;18
2;15;2;1
2;16;2;1
2;17;2;2
2;18;2;2
2;19;2;4
2;20;2;18
2;1;3;4
2;2;3;1
2;3;3;2
2;4;3;8
2;5;3;3
2;6;3;69
2;7;3;1
2;8;3;32
2;9;3;35
2;10;3;5
2;11;3;17
2;12;3;3
2;13;3;1
2;14;3;7
2;15;3;3
2;16;3;4
2;17;3;1
2;18;3;1
2;19;3;1
2;20;3;1
2;1;4;5
2;2;4;2
2;3;4;2
2;4;4;2
2;5;4;2
2;6;4;1
2;7;4;1
2;8;4;4
2;9;4;1
2;10;4;9
2;11;4;1
2;12;4;3
2;13;4;1
2;14;4;1
2;15;4;4
2;16;4;1
2;17;4;2
2;18;4;2
2;19;4;2
2;20;4;19
2;1;5;6
2;2;5;18
2;3;5;6
2;4;5;11
2;5;5;3
2;6;5;3
2;7;5;83
2;8;5;2
2;9;5;4
2;10;5;30
2;11;5;2
2;12;5;1
2;13;5;7
2;14;5;1
2;15;5;2
2;16;5;1
2;17;5;1
2;18;5;3
2;19;5;8
2;20;5;1
2;1;6;2
2;2;6;9
2;3;6;2
2;4;6;8
2;5;6;1
2;6;6;4
2;7;6;1
2;8;6;3
2;9;6;9
2;10;6;1
2;11;6;1
2;12;6;2
2;13;6;3
2;14;6;1
2;15;6;5
2;16;6;27
