SimNr;Rep;attempt;Ni;r;K;s_A;h_A;p_A_i;attempts;generation;N;freq_A;freq_Aa;freq_a;homoz
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;0;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;1;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;2;6;0.25000000;0.37500000;0.75000000;0.62500000
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;3;6;0.08333333;0.15277778;0.91666667;0.84722222
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;4;6;0.25000000;0.37500000;0.75000000;0.62500000
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;5;6;0.08333333;0.15277778;0.91666667;0.84722222
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;6;6;0.16666667;0.27777778;0.83333333;0.72222222
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;7;6;0.08333333;0.15277778;0.91666667;0.84722222
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;8;6;0.08333333;0.15277778;0.91666667;0.84722222
1;1;1;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;9;6;0.00000000;0.00000000;1.00000000;1.00000000
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;0;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;1;6;0.33333333;0.44444444;0.66666667;0.55555556
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;2;6;0.25000000;0.37500000;0.75000000;0.62500000
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;3;6;0.25000000;0.37500000;0.75000000;0.62500000
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;4;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;5;6;0.58333333;0.48611111;0.41666667;0.51388889
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;6;6;0.58333333;0.48611111;0.41666667;0.51388889
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;7;6;0.66666667;0.44444444;0.33333333;0.55555556
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;8;6;0.83333333;0.27777778;0.16666667;0.72222222
1;1;2;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;9;6;1.00000000;0.00000000;0.00000000;1.00000000
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;0;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;1;6;0.66666667;0.44444444;0.33333333;0.55555556
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;2;6;0.58333333;0.48611111;0.41666667;0.51388889
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;3;6;0.58333333;0.48611111;0.41666667;0.51388889
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;4;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;5;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;6;6;0.75000000;0.37500000;0.25000000;0.62500000
1;1;3;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;7;6;1.00000000;0.00000000;0.00000000;1.00000000
1;1;4;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;0;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;4;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;1;6;0.66666667;0.44444444;0.33333333;0.55555556
1;1;4;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;2;6;0.75000000;0.37500000;0.25000000;0.62500000
1;1;4;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;3;6;0.83333333;0.27777778;0.16666667;0.72222222
1;1;4;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;4;6;0.91666667;0.15277778;0.08333333;0.84722222
1;1;4;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;5;6;1.00000000;0.00000000;0.00000000;1.00000000
1;1;5;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;0;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;5;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;1;6;0.58333333;0.48611111;0.41666667;0.51388889
1;1;5;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;2;6;0.50000000;0.50000000;0.50000000;0.50000000
1;1;5;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;3;6;0.66666667;0.44444444;0.33333333;0.55555556
1;1;5;6;0.0000;1000;0.1000000000;0.500;0.5000000000;20;4;6;0.58333333;0.48611111;0.41666667;0.51388889
